setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
31,2022,01/08/2022,07/08/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BA.2),Dona,10 a 14,4,1
25,2021,21/06/2021,27/06/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Home,50 a 54,2,1
38,2023,18/09/2023,24/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Dona,45 a 49,4,1
10,2022,07/03/2022,13/03/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Home,20 a 24,3,2
2,2022,10/01/2022,16/01/2022,64,Girona,64,Girona,Omicron (BA.1),Dona,45 a 49,2,1
22,2021,31/05/2021,06/06/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,B.1,Dona,20 a 24,2,1
1,2023,02/01/2023,08/01/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Omicron (BQ.1),Home,55 a 59,3,1
44,2021,01/11/2021,07/11/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,70 a 74,4,1
12,2023,20/03/2023,26/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (XBB.1),Dona,40 a 44,3,1
37,2023,11/09/2023,17/09/2023,70,Penedès,70,Penedès,Omicron (XBB.1),Dona,80 o més,3,1
13,2022,28/03/2022,03/04/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Dona,65 a 69,4,1
40,2023,02/10/2023,08/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Eris (EG.5),Home,60 a 64,4,1
9,2022,28/02/2022,06/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Home,30 a 34,1,1
36,2023,04/09/2023,10/09/2023,67,Catalunya Central,67,Catalunya Central,Omicron (XBB.1),Dona,35 a 39,3,1
33,2023,14/08/2023,20/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Home,80 o més,3,2
30,2021,26/07/2021,01/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,75 a 79,4,1
1,2022,03/01/2022,09/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,20 a 24,3,3
41,2021,11/10/2021,17/10/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,30 a 34,2,1
32,2022,08/08/2022,14/08/2022,70,Penedès,70,Penedès,Omicron (BA.2),Dona,20 a 24,3,1
4,2023,23/01/2023,29/01/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Dona,80 o més,3,11
28,2021,12/07/2021,18/07/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,3 i 4,3,1
5,2022,31/01/2022,06/02/2022,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,40 a 44,3,1
17,2021,26/04/2021,02/05/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,25 a 29,2,1
46,2021,15/11/2021,21/11/2021,70,Penedès,70,Penedès,Delta (B.1.617.2),Home,55 a 59,3,1
23,2021,07/06/2021,13/06/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,40 a 44,2,2
10,2023,06/03/2023,12/03/2023,64,Girona,64,Girona,Omicron (BQ.1),Dona,80 o més,4,1
4,2022,24/01/2022,30/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,30 a 34,4,2
5,2021,01/02/2021,07/02/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Altres,Dona,80 o més,4,1
4,2022,24/01/2022,30/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Home,75 a 79,3,1
7,2021,15/02/2021,21/02/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,B.1,Home,10 a 14,2,1
9,2022,28/02/2022,06/03/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Home,80 o més,3,2
